File,Time(s),Displacement(m)
case1_H1_T6.sim,0.0,-0.0012718387879431246
case1_H1_T6.sim,0.09999999999999964,-0.0014427866553887723
case1_H1_T6.sim,0.20000000000000107,-0.0016136474441736934
case1_H1_T6.sim,0.3000000000000007,-0.0017756477463990448
case1_H1_T6.sim,0.40000000000000036,-0.00192292348947376
case1_H1_T6.sim,0.5,-0.0020503939595073457
case1_H1_T6.sim,0.5999999999999996,-0.0021511013619601722
case1_H1_T6.sim,0.7000000000000011,-0.002202645875513553
case1_H1_T6.sim,0.8000000000000007,-0.002185258781537413
case1_H1_T6.sim,0.9000000000000004,-0.002092199400067329
case1_H1_T6.sim,1.0,-0.0019191050669178364
case1_H1_T6.sim,1.0999999999999996,-0.0016666073352098463
case1_H1_T6.sim,1.200000000000001,-0.0013491291319951413
case1_H1_T6.sim,1.3000000000000007,-0.0009834551019594071
case1_H1_T6.sim,1.4000000000000004,-0.0005796201294288038
case1_H1_T6.sim,1.5,-0.00014481929247267542
case1_H1_T6.sim,1.6000000000000014,0.0003155050217173993
case1_H1_T6.sim,1.700000000000001,0.0007953040185384451
case1_H1_T6.sim,1.8000000000000007,0.0012700096704065798
case1_H1_T6.sim,1.9000000000000004,0.0017171152867376802
case1_H1_T6.sim,2.0,0.002123103011399507
case1_H1_T6.sim,2.1000000000000014,0.002476407680660486
case1_H1_T6.sim,2.200000000000001,0.0027681491337716575
case1_H1_T6.sim,2.3000000000000007,0.003004755591973662
case1_H1_T6.sim,2.4000000000000004,0.003196668811142444
case1_H1_T6.sim,2.5,0.0033503428567200895
case1_H1_T6.sim,2.6000000000000014,0.0034696422517299648
case1_H1_T6.sim,2.700000000000001,0.0035544347483664747
case1_H1_T6.sim,2.8000000000000007,0.003603222547098994
case1_H1_T6.sim,2.9000000000000004,0.0036342698149383064
case1_H1_T6.sim,3.0,0.0036649017129093404
case1_H1_T6.sim,3.1000000000000014,0.003706582356244325
case1_H1_T6.sim,3.200000000000001,0.0037693029735237356
case1_H1_T6.sim,3.3000000000000007,0.0038621500134468074
case1_H1_T6.sim,3.4000000000000004,0.003979422617703675
case1_H1_T6.sim,3.5,0.00411029765382409
case1_H1_T6.sim,3.6000000000000014,0.0042457706294953814
case1_H1_T6.sim,3.700000000000001,0.0043786782771348945
case1_H1_T6.sim,3.8000000000000007,0.004509254358708858
case1_H1_T6.sim,3.9000000000000004,0.0046411571092903605
case1_H1_T6.sim,4.0,0.004759131465107202
case1_H1_T6.sim,4.100000000000001,0.0048470660112798205
case1_H1_T6.sim,4.200000000000001,0.004892254713922738
case1_H1_T6.sim,4.300000000000001,0.004882046952843665
case1_H1_T6.sim,4.4,0.004804931115359067
case1_H1_T6.sim,4.5,0.004664133302867412
case1_H1_T6.sim,4.600000000000001,0.004469832871109246
case1_H1_T6.sim,4.700000000000001,0.0042324941605329505
case1_H1_T6.sim,4.800000000000001,0.003962668124586343
case1_H1_T6.sim,4.9,0.0036610392853617664
case1_H1_T6.sim,5.0,0.0033242448698729272
case1_H1_T6.sim,5.100000000000001,0.002966015832498669
case1_H1_T6.sim,5.200000000000001,0.0026029630098491903
case1_H1_T6.sim,5.300000000000001,0.0022494727745652194
case1_H1_T6.sim,5.4,0.0019224502611905334
case1_H1_T6.sim,5.5,0.0016382730100303886
case1_H1_T6.sim,5.600000000000001,0.0013998924987390635
case1_H1_T6.sim,5.700000000000001,0.0012022689916193483
case1_H1_T6.sim,5.800000000000001,0.001038338174112141
case1_H1_T6.sim,5.9,0.000898691767361015
case1_H1_T6.sim,6.0,0.0007866028463467955
case1_H1_T6.sim,6.100000000000001,0.0007097756024450063
case1_H1_T6.sim,6.200000000000001,0.0006619123159907757
case1_H1_T6.sim,6.300000000000001,0.0006321712862700223
case1_H1_T6.sim,6.4,0.0006116527365520595
case1_H1_T6.sim,6.5,0.0005863414844498037
case1_H1_T6.sim,6.600000000000001,0.0005416797357611357
case1_H1_T6.sim,6.700000000000001,0.0004743052122648805
case1_H1_T6.sim,6.800000000000001,0.0003891695232596248
case1_H1_T6.sim,6.9,0.00029560082475654775
case1_H1_T6.sim,7.0,0.00020840532670263198
case1_H1_T6.sim,7.100000000000001,0.00012758029333781448
case1_H1_T6.sim,7.200000000000001,4.8331494326703244e-05
case1_H1_T6.sim,7.300000000000001,-2.404036604275461e-05
case1_H1_T6.sim,7.4,-7.96077656559646e-05
case1_H1_T6.sim,7.5,-0.00011145997268613427
case1_H1_T6.sim,7.600000000000001,-0.00010635042417561634
case1_H1_T6.sim,7.700000000000001,-5.0273592933081084e-05
case1_H1_T6.sim,7.800000000000001,6.103412306401878e-05
case1_H1_T6.sim,7.9,0.00022355385590344665
case1_H1_T6.sim,8.0,0.0004263545852154493
case1_H1_T6.sim,8.100000000000001,0.0006493836408481001
case1_H1_T6.sim,8.2,0.0008875572239048778
case1_H1_T6.sim,8.3,0.0011406722478568552
case1_H1_T6.sim,8.400000000000002,0.0014006224228069184
case1_H1_T6.sim,8.5,0.0016540173674002288
case1_H1_T6.sim,8.600000000000001,0.0018901983276009557
case1_H1_T6.sim,8.7,0.002090742345899343
case1_H1_T6.sim,8.8,0.0022358223795890804
case1_H1_T6.sim,8.900000000000002,0.00231403624638915
case1_H1_T6.sim,9.0,0.002320966217666864
case1_H1_T6.sim,9.100000000000001,0.0022613492328673597
case1_H1_T6.sim,9.2,0.0021520860027521844
case1_H1_T6.sim,9.3,0.001997170969843864
case1_H1_T6.sim,9.400000000000002,0.0017953750211745498
case1_H1_T6.sim,9.5,0.0015515785198658703
case1_H1_T6.sim,9.600000000000001,0.0012756765354424713
case1_H1_T6.sim,9.7,0.0009756202343851327
case1_H1_T6.sim,9.8,0.000668614578898996
case1_H1_T6.sim,9.900000000000002,0.00037551191053353245
case1_H1_T6.sim,10.0,0.00011041216930607332
case1_H1_T6.sim,10.100000000000001,-0.00011773061123676597
case1_H1_T6.sim,10.2,-0.0003111255064141005
case1_H1_T6.sim,10.3,-0.0004848577373195439
case1_H1_T6.sim,10.400000000000002,-0.0006428135093301534
case1_H1_T6.sim,10.5,-0.0007829281967133283
case1_H1_T6.sim,10.600000000000001,-0.0009079598239623009
case1_H1_T6.sim,10.7,-0.0010242896387353537
case1_H1_T6.sim,10.8,-0.0011366237886250017
case1_H1_T6.sim,10.900000000000002,-0.0012586546363309024
case1_H1_T6.sim,11.0,-0.0014097940875217316
case1_H1_T6.sim,11.100000000000001,-0.0016050169942900536
case1_H1_T6.sim,11.200000000000003,-0.001856671064160764
case1_H1_T6.sim,11.3,-0.0021624786313623186
case1_H1_T6.sim,11.400000000000002,-0.002506002783775329
case1_H1_T6.sim,11.5,-0.0028793106321245428
case1_H1_T6.sim,11.600000000000001,-0.0032812687568366523
case1_H1_T6.sim,11.700000000000003,-0.0037061679176986213
case1_H1_T6.sim,11.8,-0.004146227147430181
case1_H1_T6.sim,11.900000000000002,-0.0045949146151542655
case1_H1_T6.sim,12.0,-0.0050370865501463405
case1_H1_T6.sim,12.100000000000001,-0.005450721364468335
case1_H1_T6.sim,12.200000000000003,-0.005815811920911073
case1_H1_T6.sim,12.3,-0.006110386457294225
case1_H1_T6.sim,12.400000000000002,-0.006328357383608817
case1_H1_T6.sim,12.5,-0.006479014642536639
case1_H1_T6.sim,12.600000000000001,-0.006566870026290416
case1_H1_T6.sim,12.700000000000003,-0.006589815951883792
case1_H1_T6.sim,12.8,-0.006550808902829885
case1_H1_T6.sim,12.900000000000002,-0.006453159730881452
case1_H1_T6.sim,13.0,-0.006299074739217757
case1_H1_T6.sim,13.100000000000001,-0.006099484860897063
case1_H1_T6.sim,13.200000000000003,-0.0058725355193018905
case1_H1_T6.sim,13.3,-0.005636410787701606
case1_H1_T6.sim,13.400000000000002,-0.005415108520537614
case1_H1_T6.sim,13.5,-0.005217903293669223
case1_H1_T6.sim,13.600000000000001,-0.005039810203015803
case1_H1_T6.sim,13.700000000000003,-0.0048788134008646
case1_H1_T6.sim,13.8,-0.0047397990711033336
case1_H1_T6.sim,13.900000000000002,-0.004622708074748515
case1_H1_T6.sim,14.0,-0.0045288405381143084
case1_H1_T6.sim,14.100000000000001,-0.004461714066565036
case1_H1_T6.sim,14.200000000000003,-0.004416767042130231
case1_H1_T6.sim,14.3,-0.0043824384920299045
case1_H1_T6.sim,14.400000000000002,-0.004344673361629247
case1_H1_T6.sim,14.5,-0.004281315486878156
case1_H1_T6.sim,14.600000000000001,-0.004184559918940066
case1_H1_T6.sim,14.700000000000003,-0.0040617785416543475
case1_H1_T6.sim,14.8,-0.003919916693121194
case1_H1_T6.sim,14.900000000000002,-0.0037593597080558534
case1_H1_T6.sim,15.0,-0.0035845595411956306
case1_H1_T6.sim,15.100000000000001,-0.0033973816316574808
case1_H1_T6.sim,15.200000000000003,-0.0031962823122739788
case1_H1_T6.sim,15.3,-0.002986387582495808
case1_H1_T6.sim,15.400000000000002,-0.0027778262738138433
case1_H1_T6.sim,15.5,-0.0025856308639049526
case1_H1_T6.sim,15.600000000000001,-0.002435494679957628
case1_H1_T6.sim,15.700000000000003,-0.002340866485610604
case1_H1_T6.sim,15.8,-0.0022991460282355543
case1_H1_T6.sim,15.900000000000002,-0.00230565364472568
case1_H1_T6.sim,16.0,-0.0023599269334226842
case1_H1_T6.sim,16.1,-0.0024572012480348344
case1_H1_T6.sim,16.200000000000003,-0.002595614874735474
case1_H1_T6.sim,16.3,-0.0027774285990744825
case1_H1_T6.sim,16.400000000000002,-0.0029982391279190774
case1_H1_T6.sim,16.5,-0.0032509025186300273
case1_H1_T6.sim,16.6,-0.003521337872371077
case1_H1_T6.sim,16.700000000000003,-0.0037826844491064544
case1_H1_T6.sim,16.8,-0.0040162382647395125
case1_H1_T6.sim,16.900000000000002,-0.004218820016831159
case1_H1_T6.sim,17.0,-0.004390508402138948
case1_H1_T6.sim,17.1,-0.004529186058789491
case1_H1_T6.sim,17.200000000000003,-0.004637381527572869
case1_H1_T6.sim,17.3,-0.004714919254183768
case1_H1_T6.sim,17.400000000000002,-0.004757050424814223
case1_H1_T6.sim,17.5,-0.004764466546475886
case1_H1_T6.sim,17.6,-0.0047374037094414225
case1_H1_T6.sim,17.700000000000003,-0.004684466402977704
case1_H1_T6.sim,17.8,-0.004628284368664025
case1_H1_T6.sim,17.900000000000002,-0.004586579743772744
case1_H1_T6.sim,18.0,-0.004561805166304111
case1_H1_T6.sim,18.1,-0.004552923142910003
case1_H1_T6.sim,18.200000000000003,-0.00455942703410983
case1_H1_T6.sim,18.3,-0.0045763435773551455
case1_H1_T6.sim,18.400000000000002,-0.004601501859724521
case1_H1_T6.sim,18.5,-0.004637078382074832
case1_H1_T6.sim,18.6,-0.004680612124502658
case1_H1_T6.sim,18.700000000000003,-0.004733361303806304
case1_H1_T6.sim,18.8,-0.004787589889019727
case1_H1_T6.sim,18.900000000000002,-0.004820235073566436
case1_H1_T6.sim,19.0,-0.004809409845620393
case1_H1_T6.sim,19.1,-0.004747786559164523
case1_H1_T6.sim,19.200000000000003,-0.0046319752000272265
case1_H1_T6.sim,19.3,-0.004460997413843869
case1_H1_T6.sim,19.400000000000002,-0.004239853005856275
case1_H1_T6.sim,19.5,-0.003970692865550517
case1_H1_T6.sim,19.6,-0.003652438055723905
case1_H1_T6.sim,19.700000000000003,-0.0032881943043321367
case1_H1_T6.sim,19.8,-0.0028744076844304796
case1_H1_T6.sim,19.900000000000002,-0.002415194176137447
case1_H1_T6.sim,20.0,-0.0019310056231915949
case1_H1_T6.sim,20.1,-0.0014462411636486647
case1_H1_T6.sim,20.200000000000003,-0.000973986811004579
case1_H1_T6.sim,20.3,-0.0005245585343800484
case1_H1_T6.sim,20.400000000000002,-0.00010460503108333795
case1_H1_T6.sim,20.5,0.0002867136499844491
case1_H1_T6.sim,20.6,0.0006471290835179387
case1_H1_T6.sim,20.700000000000003,0.0009710895246826111
case1_H1_T6.sim,20.8,0.001255483250133693
case1_H1_T6.sim,20.900000000000002,0.00148889678530395
case1_H1_T6.sim,21.0,0.0016661421395838258
case1_H1_T6.sim,21.1,0.0017987249884754417
case1_H1_T6.sim,21.200000000000003,0.0019041430205106733
case1_H1_T6.sim,21.3,0.001991024939343333
case1_H1_T6.sim,21.400000000000002,0.0020661377348005767
case1_H1_T6.sim,21.5,0.0021326800342649217
case1_H1_T6.sim,21.6,0.0021856150124222036
case1_H1_T6.sim,21.700000000000003,0.0022226972505450244
case1_H1_T6.sim,21.8,0.002244231756776571
case1_H1_T6.sim,21.900000000000002,0.0022509782575070854
case1_H1_T6.sim,22.0,0.002254571299999952
case1_H1_T6.sim,22.1,0.002263673115521669
case1_H1_T6.sim,22.200000000000003,0.0022702899295836683
case1_H1_T6.sim,22.3,0.0022588726133108135
case1_H1_T6.sim,22.400000000000002,0.0022205689456313844
case1_H1_T6.sim,22.5,0.002149382838979363
case1_H1_T6.sim,22.6,0.002044667256996035
case1_H1_T6.sim,22.700000000000003,0.0019148363498970864
case1_H1_T6.sim,22.8,0.0017665399936959145
case1_H1_T6.sim,22.900000000000002,0.0016076306346803901
case1_H1_T6.sim,23.0,0.0014447047142311928
case1_H1_T6.sim,23.1,0.0012716704513877628
case1_H1_T6.sim,23.200000000000003,0.001081727910786867
case1_H1_T6.sim,23.3,0.0008837848436087369
case1_H1_T6.sim,23.400000000000002,0.0006951380055397748
case1_H1_T6.sim,23.5,0.0005298720789141952
case1_H1_T6.sim,23.6,0.0004003641661256551
case1_H1_T6.sim,23.700000000000003,0.00031217839568853373
case1_H1_T6.sim,23.8,0.00025976364850066597
case1_H1_T6.sim,23.900000000000002,0.00023856933694332835
case1_H1_T6.sim,24.0,0.0002398105425527319
case1_H1_T6.sim,24.1,0.0002553816011641174
case1_H1_T6.sim,24.200000000000003,0.0002892072952818125
case1_H1_T6.sim,24.300000000000004,0.0003485568158794194
case1_H1_T6.sim,24.4,0.0004262922739144414
case1_H1_T6.sim,24.5,0.0005071622435934841
case1_H1_T6.sim,24.6,0.0005765585810877382
case1_H1_T6.sim,24.700000000000003,0.0006195706082507967
case1_H1_T6.sim,24.800000000000004,0.0006285714334808289
case1_H1_T6.sim,24.9,0.000607308349572122
case1_H1_T6.sim,25.0,0.0005595981492660939
case1_H1_T6.sim,25.1,0.0004963102401234208
case1_H1_T6.sim,25.200000000000003,0.00042884564027190203
case1_H1_T6.sim,25.300000000000004,0.0003567479434423148
case1_H1_T6.sim,25.4,0.000273877871222794
case1_H1_T6.sim,25.5,0.00018830750195775178
case1_H1_T6.sim,25.6,0.00011673842527670784
case1_H1_T6.sim,25.700000000000003,7.63285279390402e-05
case1_H1_T6.sim,25.800000000000004,8.634092228021471e-05
case1_H1_T6.sim,25.9,0.00015941802121233192
case1_H1_T6.sim,26.0,0.00029810611158609385
case1_H1_T6.sim,26.1,0.0005025840364396571
case1_H1_T6.sim,26.200000000000003,0.0007620338001288473
case1_H1_T6.sim,26.300000000000004,0.0010626100702211259
case1_H1_T6.sim,26.4,0.0014011713210493324
case1_H1_T6.sim,26.5,0.0017822614172473548
case1_H1_T6.sim,26.6,0.002196694957092404
case1_H1_T6.sim,26.700000000000003,0.0026250847149640317
case1_H1_T6.sim,26.800000000000004,0.0030455968808382745
case1_H1_T6.sim,26.9,0.0034305336885154243
case1_H1_T6.sim,27.0,0.0037574984598904844
case1_H1_T6.sim,27.1,0.004011792130768298
case1_H1_T6.sim,27.200000000000003,0.004181800410151481
case1_H1_T6.sim,27.300000000000004,0.004267909564077853
case1_H1_T6.sim,27.4,0.004276864230632781
case1_H1_T6.sim,27.5,0.004205936100333928
case1_H1_T6.sim,27.6,0.004043418448418378
case1_H1_T6.sim,27.700000000000003,0.0037882276810705657
case1_H1_T6.sim,27.800000000000004,0.0034497296437621112
case1_H1_T6.sim,27.9,0.0030430217739194627
case1_H1_T6.sim,28.0,0.002593080280348658
case1_H1_T6.sim,28.1,0.0021222112700343128
case1_H1_T6.sim,28.200000000000003,0.001648563891649246
case1_H1_T6.sim,28.300000000000004,0.001188411610201001
case1_H1_T6.sim,28.4,0.0007474865997210144
case1_H1_T6.sim,28.5,0.00032387673854827875
case1_H1_T6.sim,28.6,-7.36897563911043e-05
case1_H1_T6.sim,28.700000000000003,-0.00042694748844951386
case1_H1_T6.sim,28.800000000000004,-0.000722647295333445
case1_H1_T6.sim,28.9,-0.0009584213839843868
case1_H1_T6.sim,29.0,-0.001139243016950786
case1_H1_T6.sim,29.1,-0.0012806804152205584
case1_H1_T6.sim,29.200000000000003,-0.0013939082855358718
case1_H1_T6.sim,29.300000000000004,-0.0014934102073311804
case1_H1_T6.sim,29.4,-0.0015943788457661865
case1_H1_T6.sim,29.5,-0.0017000896623358128
case1_H1_T6.sim,29.6,-0.001803808845579624
case1_H1_T6.sim,29.700000000000003,-0.0019087595865130422
case1_H1_T6.sim,29.800000000000004,-0.0020305979996919628
case1_H1_T6.sim,29.9,-0.0021841891575604673
case1_H1_T6.sim,30.0,-0.0023756679147481914
case1_H1_T6.sim,30.1,-0.002603097120299935
case1_H1_T6.sim,30.200000000000003,-0.002853455254808068
case1_H1_T6.sim,30.300000000000004,-0.003118513850495219
case1_H1_T6.sim,30.400000000000006,-0.003385171992704272
case1_H1_T6.sim,30.5,-0.0036369697190821166
case1_H1_T6.sim,30.6,-0.003868905128911137
case1_H1_T6.sim,30.700000000000003,-0.004089631140232085
case1_H1_T6.sim,30.800000000000004,-0.004300784785300492
case1_H1_T6.sim,30.900000000000006,-0.004490910563617944
case1_H1_T6.sim,31.0,-0.0046454332768917075
case1_H1_T6.sim,31.1,-0.004754167515784501
case1_H1_T6.sim,31.200000000000003,-0.004815851803869008
case1_H1_T6.sim,31.300000000000004,-0.00484106596559286
case1_H1_T6.sim,31.400000000000006,-0.0048350938595831386
case1_H1_T6.sim,31.5,-0.004807685036212205
case1_H1_T6.sim,31.6,-0.004770629573613404
case1_H1_T6.sim,31.700000000000003,-0.004725981038063764
case1_H1_T6.sim,31.800000000000004,-0.00465886853635311
case1_H1_T6.sim,31.900000000000006,-0.0045626787468791
case1_H1_T6.sim,32.0,-0.004444951191544532
case1_H1_T6.sim,32.1,-0.004315122961997985
case1_H1_T6.sim,32.2,-0.004181709606200456
case1_H1_T6.sim,32.300000000000004,-0.004051657393574714
case1_H1_T6.sim,32.400000000000006,-0.003920409828424453
case1_H1_T6.sim,32.5,-0.0037836288101971145
case1_H1_T6.sim,32.6,-0.0036309715360403057
case1_H1_T6.sim,32.7,-0.003451290307566523
case1_H1_T6.sim,32.800000000000004,-0.003245484316721558
case1_H1_T6.sim,32.900000000000006,-0.0030325821135193105
case1_H1_T6.sim,33.0,-0.002828378695994615
case1_H1_T6.sim,33.1,-0.0026358219329267736
case1_H1_T6.sim,33.2,-0.002455438487231731
case1_H1_T6.sim,33.300000000000004,-0.0022856038995087142
case1_H1_T6.sim,33.400000000000006,-0.0021273491438478227
case1_H1_T6.sim,33.5,-0.0019896677695214744
case1_H1_T6.sim,33.6,-0.0018833393696695564
case1_H1_T6.sim,33.7,-0.001827095285989344
case1_H1_T6.sim,33.800000000000004,-0.0018448269693180917
case1_H1_T6.sim,33.900000000000006,-0.001948936143890023
case1_H1_T6.sim,34.0,-0.0021296613849699493
case1_H1_T6.sim,34.1,-0.0023726057261228557
case1_H1_T6.sim,34.2,-0.0026716040447354312
case1_H1_T6.sim,34.300000000000004,-0.003023961558938026
case1_H1_T6.sim,34.400000000000006,-0.0034323174040764566
case1_H1_T6.sim,34.5,-0.003891738830134272
case1_H1_T6.sim,34.6,-0.004386736545711755
case1_H1_T6.sim,34.7,-0.0048997029662132255
case1_H1_T6.sim,34.800000000000004,-0.005404621362686156
case1_H1_T6.sim,34.900000000000006,-0.005869126878678798
case1_H1_T6.sim,35.0,-0.006269910372793674
case1_H1_T6.sim,35.1,-0.006598670035600661
case1_H1_T6.sim,35.2,-0.006855750456452369
case1_H1_T6.sim,35.300000000000004,-0.0070436173118650905
case1_H1_T6.sim,35.400000000000006,-0.0071650068275630465
case1_H1_T6.sim,35.5,-0.007209477480500936
case1_H1_T6.sim,35.6,-0.007169787771999835
case1_H1_T6.sim,35.7,-0.00704947393387556
case1_H1_T6.sim,35.800000000000004,-0.006861573085188865
case1_H1_T6.sim,35.900000000000006,-0.006628327537328004
case1_H1_T6.sim,36.0,-0.006382477935403585
case1_H1_T6.sim,36.1,-0.006149204447865485
case1_H1_T6.sim,36.2,-0.005942883435636758
case1_H1_T6.sim,36.300000000000004,-0.005770639516413211
case1_H1_T6.sim,36.400000000000006,-0.005634226836264133
case1_H1_T6.sim,36.5,-0.005533595569431781
case1_H1_T6.sim,36.6,-0.005481947679072618
case1_H1_T6.sim,36.7,-0.005490317940711974
case1_H1_T6.sim,36.800000000000004,-0.005564821884036063
case1_H1_T6.sim,36.900000000000006,-0.005700633861124515
case1_H1_T6.sim,37.0,-0.005880305543541907
case1_H1_T6.sim,37.1,-0.006070478819310664
case1_H1_T6.sim,37.2,-0.006243188865482806
case1_H1_T6.sim,37.300000000000004,-0.00638167094439268
case1_H1_T6.sim,37.400000000000006,-0.006476348266005515
case1_H1_T6.sim,37.5,-0.006524119060486554
case1_H1_T6.sim,37.6,-0.0065199113450944415
case1_H1_T6.sim,37.7,-0.00644559459760785
case1_H1_T6.sim,37.800000000000004,-0.0062845712527632705
case1_H1_T6.sim,37.900000000000006,-0.00602702610194683
case1_H1_T6.sim,38.0,-0.005673025269061326
case1_H1_T6.sim,38.1,-0.0052313501946628085
case1_H1_T6.sim,38.2,-0.004727981518954038
case1_H1_T6.sim,38.300000000000004,-0.004193488974124192
case1_H1_T6.sim,38.400000000000006,-0.003651219187304377
case1_H1_T6.sim,38.5,-0.003114962019026279
case1_H1_T6.sim,38.6,-0.0025862213224172588
case1_H1_T6.sim,38.7,-0.0020701126195490356
case1_H1_T6.sim,38.800000000000004,-0.001584810437634587
case1_H1_T6.sim,38.900000000000006,-0.00115202902816236
case1_H1_T6.sim,39.0,-0.0007896560709923505
case1_H1_T6.sim,39.1,-0.0005076873349025844
case1_H1_T6.sim,39.2,-0.00030920599238015706
case1_H1_T6.sim,39.300000000000004,-0.00018150098912883547
case1_H1_T6.sim,39.400000000000006,-0.00010226342419628053
case1_H1_T6.sim,39.5,-5.403803515946492e-05
case1_H1_T6.sim,39.6,-2.68713483819738e-05
case1_H1_T6.sim,39.7,-2.562768167990725e-05
case1_H1_T6.sim,39.800000000000004,-5.2913528634235256e-05
case1_H1_T6.sim,39.900000000000006,-0.00010036839375970884
case1_H1_T6.sim,40.0,-0.00015234795864671466
